problem,instance_id,population_size,generations,pool_variant,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
tsp,eil22,20,20,full,30,-429.5,-428.3333333333333,28.405115291310537,-490.0,-380.0
tsp,eil22,20,20,reduced,30,-432.0,-426.23333333333335,29.40288905970757,-478.0,-367.0
tsp,eil22,20,30,full,30,-384.0,-384.76666666666665,26.00753648508425,-439.0,-327.0
tsp,eil22,20,30,reduced,30,-388.5,-386.23333333333335,24.347602492369486,-434.0,-346.0
tsp,eil22,20,50,full,30,-345.5,-345.46666666666664,22.587352783075897,-412.0,-303.0
tsp,eil22,20,50,reduced,30,-345.0,-339.8,17.481813209831763,-371.0,-300.0
tsp,eil22,50,20,full,30,-416.0,-413.1,25.688250366588846,-465.0,-368.0
tsp,eil22,50,20,reduced,30,-396.0,-397.56666666666666,27.030867838305788,-445.0,-332.0
tsp,eil22,50,30,full,30,-383.5,-375.8333333333333,27.21825367898046,-422.0,-317.0
tsp,eil22,50,30,reduced,30,-361.0,-359.2,22.653917983430592,-406.0,-323.0
tsp,eil22,50,50,full,30,-328.5,-327.73333333333335,20.357042894347373,-360.0,-285.0
tsp,eil22,50,50,reduced,30,-319.0,-319.23333333333335,19.247361365658147,-370.0,-286.0
tsp,eil51,20,20,full,30,-1135.5,-1131.9,50.74095808699523,-1225.0,-1022.0
tsp,eil51,20,20,reduced,30,-1134.0,-1129.6,38.1391282470939,-1198.0,-1056.0
tsp,eil51,20,30,full,30,-1045.0,-1042.9666666666667,45.976368242626656,-1115.0,-949.0
tsp,eil51,20,30,reduced,30,-1034.5,-1032.4333333333334,40.85692726756537,-1121.0,-934.0
tsp,eil51,20,50,full,30,-924.0,-924.5333333333333,43.79004243080787,-1023.0,-827.0
tsp,eil51,20,50,reduced,30,-910.0,-908.9,30.36257905541872,-954.0,-813.0
tsp,eil51,50,20,full,30,-1086.0,-1076.6333333333334,35.46973778942515,-1145.0,-995.0
tsp,eil51,50,20,reduced,30,-1064.5,-1064.4,48.51491061234822,-1160.0,-963.0
tsp,eil51,50,30,full,30,-991.5,-987.7666666666667,39.39252802712484,-1052.0,-892.0
tsp,eil51,50,30,reduced,30,-969.0,-964.4333333333333,43.530158656311805,-1036.0,-868.0
tsp,eil51,50,50,full,30,-863.5,-867.1,37.625514087449055,-930.0,-769.0
tsp,eil51,50,50,reduced,30,-840.5,-845.0,41.89560095416158,-949.0,-775.0
tsp,berlin52,20,20,full,30,-20817.5,-20794.733333333334,987.8730873860311,-22552.0,-19277.0
tsp,berlin52,20,20,reduced,30,-20672.5,-20637.266666666666,827.7630401115483,-22846.0,-18934.0
tsp,berlin52,20,30,full,30,-19040.0,-19187.6,942.3846714402338,-21020.0,-17515.0
tsp,berlin52,20,30,reduced,30,-18930.0,-18918.4,907.5648965111588,-20847.0,-17187.0
tsp,berlin52,20,50,full,30,-16983.0,-16855.233333333334,713.1579446539095,-17948.0,-15326.0
tsp,berlin52,20,50,reduced,30,-16292.0,-16423.5,791.4128679685508,-18609.0,-15149.0
tsp,berlin52,50,20,full,30,-19538.5,-19352.5,1135.8268369114528,-21469.0,-16809.0
tsp,berlin52,50,20,reduced,30,-19179.5,-19099.8,544.8873594448293,-20038.0,-17252.0
tsp,berlin52,50,30,full,30,-17938.5,-17746.8,1035.6958147495118,-19514.0,-15509.0
tsp,berlin52,50,30,reduced,30,-17298.0,-17395.8,721.019077656637,-18895.0,-15319.0
tsp,berlin52,50,50,full,30,-15548.5,-15468.333333333334,904.0449841315051,-16912.0,-13540.0
tsp,berlin52,50,50,reduced,30,-15311.5,-15138.966666666667,635.3991676881948,-16652.0,-13925.0
knapsack,n20_uncorrelated,20,20,full,30,8233.0,8182.2,177.34622284847427,7769.0,8537.0
knapsack,n20_uncorrelated,20,20,reduced,30,7980.0,7966.333333333333,242.840849448604,7511.0,8376.0
knapsack,n20_uncorrelated,20,30,full,30,8281.5,8277.833333333334,94.22499973315279,8051.0,8537.0
knapsack,n20_uncorrelated,20,30,reduced,30,8078.5,8071.866666666667,194.192001208426,7588.0,8537.0
knapsack,n20_uncorrelated,20,50,full,30,8334.0,8335.766666666666,76.57841747508567,8220.0,8537.0
knapsack,n20_uncorrelated,20,50,reduced,30,8226.5,8197.5,185.2883586793001,7798.0,8537.0
knapsack,n20_uncorrelated,50,20,full,30,8335.0,8341.3,108.29530190083548,8096.0,8537.0
knapsack,n20_uncorrelated,50,20,reduced,30,8274.0,8277.766666666666,117.39696387231137,7904.0,8537.0
knapsack,n20_uncorrelated,50,30,full,30,8359.0,8408.7,104.53118656897206,8212.0,8537.0
knapsack,n20_uncorrelated,50,30,reduced,30,8334.0,8331.233333333334,110.33606448680678,8106.0,8537.0
knapsack,n20_uncorrelated,50,50,full,30,8456.5,8444.533333333333,94.819877638617,8325.0,8537.0
knapsack,n20_uncorrelated,50,50,reduced,30,8335.0,8364.366666666667,105.72263103349101,8190.0,8537.0
knapsack,n20_weakly,20,20,full,30,5429.0,5421.666666666667,62.99334027927262,5266.0,5531.0
knapsack,n20_weakly,20,20,reduced,30,5363.0,5362.666666666667,89.1868759996375,5129.0,5570.0
knapsack,n20_weakly,20,30,full,30,5478.0,5462.766666666666,69.5357428969439,5325.0,5572.0
knapsack,n20_weakly,20,30,reduced,30,5396.5,5396.566666666667,106.30265294426337,5163.0,5607.0
knapsack,n20_weakly,20,50,full,30,5495.5,5498.166666666667,63.610931251732545,5362.0,5607.0
knapsack,n20_weakly,20,50,reduced,30,5461.0,5451.033333333334,82.76909440428685,5288.0,5607.0
knapsack,n20_weakly,50,20,full,30,5496.5,5490.333333333333,52.39921908692476,5374.0,5572.0
knapsack,n20_weakly,50,20,reduced,30,5481.5,5465.633333333333,81.18114412176968,5315.0,5607.0
knapsack,n20_weakly,50,30,full,30,5528.5,5520.433333333333,54.03363150236465,5374.0,5607.0
knapsack,n20_weakly,50,30,reduced,30,5497.5,5490.2,70.46613273104298,5325.0,5607.0
knapsack,n20_weakly,50,50,full,30,5568.0,5555.7,52.59877407775545,5397.0,5607.0
knapsack,n20_weakly,50,50,reduced,30,5531.0,5530.133333333333,56.07244903007078,5401.0,5607.0
knapsack,n20_strongly,20,20,full,30,5548.0,5490.866666666667,128.14397434495132,5254.0,5666.0
knapsack,n20_strongly,20,20,reduced,30,5528.0,5528.166666666667,107.13513327386677,5266.0,5766.0
knapsack,n20_strongly,20,30,full,30,5564.0,5540.433333333333,119.81931320155343,5347.0,5666.0
knapsack,n20_strongly,20,30,reduced,30,5556.0,5552.266666666666,103.6788587279318,5360.0,5766.0
knapsack,n20_strongly,20,50,full,30,5648.5,5602.533333333334,85.05646535596559,5361.0,5732.0
knapsack,n20_strongly,20,50,reduced,30,5564.5,5563.466666666666,105.62351270802165,5360.0,5766.0
knapsack,n20_strongly,50,20,full,30,5651.5,5621.8,59.91108354081474,5465.0,5732.0
knapsack,n20_strongly,50,20,reduced,30,5623.5,5595.5,87.60520768649032,5438.0,5766.0
knapsack,n20_strongly,50,30,full,30,5662.0,5648.766666666666,54.145196452229946,5493.0,5766.0
knapsack,n20_strongly,50,30,reduced,30,5636.5,5612.266666666666,76.98317475528206,5458.0,5766.0
knapsack,n20_strongly,50,50,full,30,5665.0,5673.9,46.180567640363705,5565.0,5766.0
knapsack,n20_strongly,50,50,reduced,30,5659.0,5628.766666666666,70.61634241513754,5460.0,5766.0
knapsack,n30_uncorrelated,20,20,full,30,12254.0,12312.366666666667,346.33116335762173,11629.0,13015.0
knapsack,n30_uncorrelated,20,20,reduced,30,12020.0,11911.233333333334,628.977971399434,9661.0,12789.0
knapsack,n30_uncorrelated,20,30,full,30,12652.0,12618.6,271.9522777608424,12057.0,13015.0
knapsack,n30_uncorrelated,20,30,reduced,30,12201.0,12167.966666666667,462.46099431667506,11044.0,12861.0
knapsack,n30_uncorrelated,20,50,full,30,12822.5,12851.333333333334,189.6069134003172,12313.0,13103.0
knapsack,n30_uncorrelated,20,50,reduced,30,12460.0,12459.5,327.25564719449784,11772.0,13103.0
knapsack,n30_uncorrelated,50,20,full,30,12767.5,12739.966666666667,243.5678031116668,12115.0,13103.0
knapsack,n30_uncorrelated,50,20,reduced,30,12658.5,12639.9,303.30130120120623,11859.0,13103.0
knapsack,n30_uncorrelated,50,30,full,30,13015.0,12946.4,170.70757412039148,12603.0,13103.0
knapsack,n30_uncorrelated,50,30,reduced,30,12891.5,12796.966666666667,308.392325515376,12039.0,13103.0
knapsack,n30_uncorrelated,50,50,full,30,13103.0,13050.466666666667,108.63057718179803,12792.0,13103.0
knapsack,n30_uncorrelated,50,50,reduced,30,12922.0,12914.5,206.06606741026295,12500.0,13103.0
knapsack,n30_weakly,20,20,full,30,7838.5,7849.5,103.81573530323679,7588.0,8029.0
knapsack,n30_weakly,20,20,reduced,30,7760.5,7763.0,108.50965315393007,7577.0,8000.0
knapsack,n30_weakly,20,30,full,30,7962.0,7954.533333333334,90.43676904557294,7764.0,8105.0
knapsack,n30_weakly,20,30,reduced,30,7855.0,7834.6,77.60847802958749,7687.0,8004.0
knapsack,n30_weakly,20,50,full,30,8020.0,8010.8,66.06078705409811,7887.0,8117.0
knapsack,n30_weakly,20,50,reduced,30,7908.0,7912.3,95.5557789804035,7741.0,8098.0
knapsack,n30_weakly,50,20,full,30,7977.0,7967.9,61.399960687396145,7826.0,8103.0
knapsack,n30_weakly,50,20,reduced,30,7900.5,7896.233333333334,76.14536159185289,7760.0,8031.0
knapsack,n30_weakly,50,30,full,30,8010.5,8031.8,68.78522295196639,7923.0,8173.0
knapsack,n30_weakly,50,30,reduced,30,7962.5,7960.3,75.25137185139711,7797.0,8107.0
knapsack,n30_weakly,50,50,full,30,8064.0,8065.8,66.04930237956783,7942.0,8194.0
knapsack,n30_weakly,50,50,reduced,30,8001.5,8012.8,69.40704525503504,7891.0,8148.0
knapsack,n30_strongly,20,20,full,30,8751.5,8756.933333333332,101.43111585883206,8554.0,8953.0
knapsack,n30_strongly,20,20,reduced,30,8757.0,8775.733333333334,101.22931745617808,8633.0,8974.0
knapsack,n30_strongly,20,30,full,30,8779.0,8795.066666666668,101.91339573326489,8645.0,8956.0
knapsack,n30_strongly,20,30,reduced,30,8814.5,8811.666666666666,110.42249062931705,8641.0,9059.0
knapsack,n30_strongly,20,50,full,30,8853.0,8865.933333333332,91.63493285609057,8658.0,9040.0
knapsack,n30_strongly,20,50,reduced,30,8849.0,8834.766666666666,107.82159061291411,8641.0,9059.0
knapsack,n30_strongly,50,20,full,30,8856.5,8887.633333333333,70.35892381865672,8758.0,9055.0
knapsack,n30_strongly,50,20,reduced,30,8911.0,8900.866666666667,80.12952158777098,8683.0,9059.0
knapsack,n30_strongly,50,30,full,30,8950.5,8942.033333333333,66.0295040288722,8840.0,9059.0
knapsack,n30_strongly,50,30,reduced,30,8943.5,8919.266666666666,77.39639719554506,8738.0,9059.0
knapsack,n30_strongly,50,50,full,30,9044.0,9001.066666666668,74.95006766960361,8855.0,9059.0
knapsack,n30_strongly,50,50,reduced,30,8947.5,8940.533333333333,66.00717481029454,8844.0,9059.0
knapsack,n50_uncorrelated,20,20,full,30,16940.5,17001.0,581.6074040225013,16167.0,18144.0
knapsack,n50_uncorrelated,20,20,reduced,30,16754.0,16716.933333333334,789.4162807846162,15248.0,18367.0
knapsack,n50_uncorrelated,20,30,full,30,17827.5,17795.4,375.2037239724023,16917.0,18416.0
