problem,instance_id,population_size,generations,operator_id,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
tsp,eil22,20,20,ox,30,-472.5,-469.46666666666664,60.1542461787473,-623.0,-376.0
tsp,eil22,20,20,pmx,30,-533.5,-536.0,40.680419758455514,-636.0,-416.0
tsp,eil22,20,20,cx,30,-610.5,-610.6333333333333,45.40961718990079,-706.0,-500.0
tsp,eil22,20,20,swap,30,-457.0,-454.6,25.84649646103597,-509.0,-397.0
tsp,eil22,20,20,inversion,30,-433.5,-427.8333333333333,24.236028087771814,-467.0,-375.0
tsp,eil22,20,20,insert,30,-446.5,-453.7,31.829448520253194,-534.0,-391.0
tsp,eil22,20,30,ox,30,-464.0,-461.0,64.42905748399446,-623.0,-375.0
tsp,eil22,20,30,pmx,30,-533.5,-536.0,40.680419758455514,-636.0,-416.0
tsp,eil22,20,30,cx,30,-610.5,-610.6333333333333,45.40961718990079,-706.0,-500.0
tsp,eil22,20,30,swap,30,-425.5,-427.93333333333334,26.30711629609167,-509.0,-387.0
tsp,eil22,20,30,inversion,30,-391.5,-391.93333333333334,22.812478940314637,-427.0,-334.0
tsp,eil22,20,30,insert,30,-411.5,-416.43333333333334,26.592302922324034,-487.0,-375.0
tsp,eil22,20,50,ox,30,-455.0,-458.3,65.88765255054007,-623.0,-375.0
tsp,eil22,20,50,pmx,30,-533.5,-536.0,40.680419758455514,-636.0,-416.0
tsp,eil22,20,50,cx,30,-610.5,-610.6333333333333,45.40961718990079,-706.0,-500.0
tsp,eil22,20,50,swap,30,-395.0,-392.06666666666666,26.120322822810135,-449.0,-341.0
tsp,eil22,20,50,inversion,30,-345.5,-343.4,21.897252228816605,-379.0,-304.0
tsp,eil22,20,50,insert,30,-383.0,-382.23333333333335,22.89207562535083,-445.0,-346.0
tsp,eil22,50,20,ox,30,-374.0,-375.3,30.423618320708304,-427.0,-310.0
tsp,eil22,50,20,pmx,30,-431.0,-426.56666666666666,34.451048063065926,-493.0,-347.0
tsp,eil22,50,20,cx,30,-541.5,-534.6,37.97149566133287,-601.0,-440.0
tsp,eil22,50,20,swap,30,-439.5,-435.5,25.610813987521915,-484.0,-379.0
tsp,eil22,50,20,inversion,30,-401.0,-399.8333333333333,22.30367734227936,-431.0,-329.0
tsp,eil22,50,20,insert,30,-428.5,-424.53333333333336,25.706209277182406,-464.0,-369.0
tsp,eil22,50,30,ox,30,-348.0,-347.43333333333334,28.80455343952714,-409.0,-293.0
tsp,eil22,50,30,pmx,30,-428.0,-424.53333333333336,34.401015756187654,-493.0,-347.0
tsp,eil22,50,30,cx,30,-541.5,-534.6,37.97149566133287,-601.0,-440.0
tsp,eil22,50,30,swap,30,-409.5,-410.56666666666666,27.4435889546656,-476.0,-342.0
tsp,eil22,50,30,inversion,30,-369.5,-365.46666666666664,21.254992652167115,-406.0,-320.0
tsp,eil22,50,30,insert,30,-393.0,-391.2,23.28296698713757,-440.0,-348.0
tsp,eil22,50,50,ox,30,-331.5,-332.76666666666665,25.94647452410221,-390.0,-289.0
tsp,eil22,50,50,pmx,30,-428.0,-424.53333333333336,34.401015756187654,-493.0,-347.0
tsp,eil22,50,50,cx,30,-541.5,-534.6,37.97149566133287,-601.0,-440.0
tsp,eil22,50,50,swap,30,-386.0,-381.06666666666666,27.64296173229875,-451.0,-329.0
tsp,eil22,50,50,inversion,30,-333.0,-330.1333333333333,13.624858957405591,-350.0,-305.0
tsp,eil22,50,50,insert,30,-366.5,-361.03333333333336,26.560903772187466,-413.0,-314.0
tsp,eil51,20,20,ox,30,-1128.0,-1132.6,51.26173540996617,-1238.0,-1013.0
tsp,eil51,20,20,pmx,30,-1275.5,-1279.0333333333333,61.612517387707626,-1413.0,-1160.0
tsp,eil51,20,20,cx,30,-1390.0,-1385.5,47.61972208060944,-1461.0,-1277.0
tsp,eil51,20,20,swap,30,-1161.0,-1158.7333333333333,48.469637373580966,-1253.0,-1059.0
tsp,eil51,20,20,inversion,30,-1157.0,-1147.3666666666666,45.03062814645569,-1234.0,-1053.0
tsp,eil51,20,20,insert,30,-1148.0,-1152.2333333333333,50.81859782655825,-1262.0,-1065.0
tsp,eil51,20,30,ox,30,-1064.0,-1072.3333333333333,67.05598964392694,-1209.0,-962.0
tsp,eil51,20,30,pmx,30,-1275.5,-1279.0333333333333,61.612517387707626,-1413.0,-1160.0
tsp,eil51,20,30,cx,30,-1390.0,-1385.5,47.61972208060944,-1461.0,-1277.0
tsp,eil51,20,30,swap,30,-1088.5,-1094.1666666666667,45.47912240482047,-1192.0,-964.0
tsp,eil51,20,30,inversion,30,-1060.0,-1061.2666666666667,37.855381190228044,-1148.0,-993.0
tsp,eil51,20,30,insert,30,-1070.5,-1071.4,49.18340062004379,-1167.0,-998.0
tsp,eil51,20,50,ox,30,-1039.0,-1044.2666666666667,91.16636302456317,-1209.0,-879.0
tsp,eil51,20,50,pmx,30,-1275.5,-1279.0333333333333,61.612517387707626,-1413.0,-1160.0
tsp,eil51,20,50,cx,30,-1390.0,-1385.5,47.61972208060944,-1461.0,-1277.0
tsp,eil51,20,50,swap,30,-997.0,-992.3,42.96763015782124,-1062.0,-890.0
tsp,eil51,20,50,inversion,30,-918.5,-923.0,40.97602326676688,-989.0,-853.0
tsp,eil51,20,50,insert,30,-961.5,-972.7666666666667,52.179189492478265,-1067.0,-884.0
