problem,instance_id,population_size,generations,pool_variant,o_star,o_star_count,o_star_median
tsp,eil22,20,20,full,inversion,1,-433.5
tsp,eil22,20,20,reduced,inversion,1,-433.5
tsp,eil22,20,30,full,inversion,1,-391.5
tsp,eil22,20,30,reduced,inversion,1,-391.5
tsp,eil22,20,50,full,inversion,1,-345.5
tsp,eil22,20,50,reduced,inversion,1,-345.5
tsp,eil22,50,20,full,ox,1,-374.0
tsp,eil22,50,20,reduced,ox,1,-374.0
tsp,eil22,50,30,full,ox,1,-348.0
tsp,eil22,50,30,reduced,ox,1,-348.0
tsp,eil22,50,50,full,ox,1,-331.5
tsp,eil22,50,50,reduced,ox,1,-331.5
tsp,eil51,20,20,full,ox,1,-1128.0
tsp,eil51,20,20,reduced,ox,1,-1128.0
tsp,eil51,20,30,full,inversion,1,-1060.0
tsp,eil51,20,30,reduced,inversion,1,-1060.0
tsp,eil51,20,50,full,inversion,1,-918.5
tsp,eil51,20,50,reduced,inversion,1,-918.5
tsp,eil51,50,20,full,ox,1,-1026.5
tsp,eil51,50,20,reduced,ox,1,-1026.5
tsp,eil51,50,30,full,ox,1,-919.0
tsp,eil51,50,30,reduced,ox,1,-919.0
tsp,eil51,50,50,full,ox,1,-784.5
tsp,eil51,50,50,reduced,ox,1,-784.5
tsp,berlin52,20,20,full,ox,1,-20551.0
tsp,berlin52,20,20,reduced,ox,1,-20551.0
tsp,berlin52,20,30,full,inversion,1,-18970.0
tsp,berlin52,20,30,reduced,inversion,1,-18970.0
tsp,berlin52,20,50,full,inversion,1,-16583.0
tsp,berlin52,20,50,reduced,inversion,1,-16583.0
tsp,berlin52,50,20,full,ox,1,-18367.0
tsp,berlin52,50,20,reduced,ox,1,-18367.0
tsp,berlin52,50,30,full,ox,1,-16408.0
tsp,berlin52,50,30,reduced,ox,1,-16408.0
tsp,berlin52,50,50,full,ox,1,-14056.5
tsp,berlin52,50,50,reduced,ox,1,-14056.5
knapsack,n20_uncorrelated,20,20,full,bitflip,1,8141.5
knapsack,n20_uncorrelated,20,20,reduced,bitflip,1,8141.5
knapsack,n20_uncorrelated,20,30,full,bitflip,1,8226.5
knapsack,n20_uncorrelated,20,30,reduced,bitflip,1,8226.5
knapsack,n20_uncorrelated,20,50,full,bitflip,1,8289.0
knapsack,n20_uncorrelated,20,50,reduced,bitflip,1,8289.0
knapsack,n20_uncorrelated,50,20,full,uniform,1,8329.0
knapsack,n20_uncorrelated,50,20,reduced,uniform,1,8329.0
knapsack,n20_uncorrelated,50,30,full,uniform,1,8329.0
knapsack,n20_uncorrelated,50,30,reduced,uniform,1,8329.0
knapsack,n20_uncorrelated,50,50,full,bitflip,1,8347.0
knapsack,n20_uncorrelated,50,50,reduced,bitflip,1,8347.0
knapsack,n20_weakly,20,20,full,swapbit,1,5428.5
knapsack,n20_weakly,20,20,reduced,bitflip,1,5350.0
knapsack,n20_weakly,20,30,full,swapbit,1,5457.0
knapsack,n20_weakly,20,30,reduced,bitflip,1,5392.0
knapsack,n20_weakly,20,50,full,swapbit,1,5496.0
knapsack,n20_weakly,20,50,reduced,bitflip,1,5441.5
knapsack,n20_weakly,50,20,full,swapbit,1,5513.0
knapsack,n20_weakly,50,20,reduced,bitflip,1,5462.5
knapsack,n20_weakly,50,30,full,swapbit,1,5524.0
knapsack,n20_weakly,50,30,reduced,bitflip,1,5515.0
knapsack,n20_weakly,50,50,full,bitflip,1,5535.5
knapsack,n20_weakly,50,50,reduced,bitflip,1,5535.5
knapsack,n20_strongly,20,20,full,uniform,1,5492.0
knapsack,n20_strongly,20,20,reduced,uniform,1,5492.0
knapsack,n20_strongly,20,30,full,bitflip,1,5543.5
