problem,instance_id,population_size,generations,pool_variant,n_seeds,median_quality,mean_quality,std_quality,min_quality,max_quality
tsp,eil22,20,20,full,30,-438.5,-438.1666666666667,20.852657704315135,-471.0,-397.0
tsp,eil22,20,20,reduced,30,-439.0,-438.1666666666667,25.953650109820558,-483.0,-389.0
tsp,eil22,20,30,full,30,-395.5,-391.4,27.669976259601246,-442.0,-335.0
tsp,eil22,20,30,reduced,30,-400.0,-399.3333333333333,27.15642215697451,-448.0,-345.0
tsp,eil22,20,50,full,30,-349.0,-351.4,22.364688916790854,-410.0,-311.0
tsp,eil22,20,50,reduced,30,-352.5,-351.1666666666667,19.210419825840805,-390.0,-320.0
tsp,eil22,50,20,full,30,-407.5,-402.23333333333335,22.389473101150156,-440.0,-364.0
tsp,eil22,50,20,reduced,30,-402.5,-402.3,27.681875061067515,-452.0,-347.0
tsp,eil22,50,30,full,30,-366.0,-367.1666666666667,22.560391494116768,-410.0,-328.0
tsp,eil22,50,30,reduced,30,-364.5,-363.23333333333335,23.256713281194276,-399.0,-315.0
tsp,eil22,50,50,full,30,-321.5,-326.6,24.191192469645813,-380.0,-288.0
tsp,eil22,50,50,reduced,30,-316.5,-321.1333333333333,16.496046199919697,-360.0,-290.0
tsp,eil51,20,20,full,30,-1150.5,-1144.6,42.665984189944005,-1228.0,-1036.0
tsp,eil51,20,20,reduced,30,-1134.5,-1132.6333333333334,49.43367784969197,-1226.0,-1017.0
tsp,eil51,20,30,full,30,-1063.0,-1052.6333333333334,45.58393798586132,-1117.0,-943.0
tsp,eil51,20,30,reduced,30,-1063.5,-1062.6,53.37867325646723,-1182.0,-941.0
tsp,eil51,20,50,full,30,-948.0,-938.5333333333333,40.23614204215883,-1011.0,-828.0
tsp,eil51,20,50,reduced,30,-940.0,-948.0,55.1386965938529,-1061.0,-799.0
tsp,eil51,50,20,full,30,-1073.0,-1071.4666666666667,35.53117459099955,-1147.0,-993.0
tsp,eil51,50,20,reduced,30,-1081.5,-1087.2,40.428225032894346,-1168.0,-995.0
tsp,eil51,50,30,full,30,-979.5,-984.8333333333334,34.073028400302434,-1050.0,-926.0
tsp,eil51,50,30,reduced,30,-1020.5,-1014.1666666666666,34.80495736919189,-1084.0,-949.0
tsp,eil51,50,50,full,30,-888.0,-891.4,39.36005326601386,-962.0,-829.0
tsp,eil51,50,50,reduced,30,-903.0,-901.3,34.505521796992994,-973.0,-832.0
tsp,berlin52,20,20,full,30,-20604.0,-20561.533333333333,951.5047876493004,-22337.0,-18077.0
tsp,berlin52,20,20,reduced,30,-20656.0,-20755.0,765.5739789474165,-22340.0,-19431.0
tsp,berlin52,20,30,full,30,-19009.0,-18977.266666666666,956.6402391319513,-20548.0,-16489.0
tsp,berlin52,20,30,reduced,30,-19282.0,-19270.666666666668,815.1469227980479,-20806.0,-17200.0
tsp,berlin52,20,50,full,30,-16927.5,-16821.8,918.2269421234487,-18721.0,-14480.0
tsp,berlin52,20,50,reduced,30,-17168.0,-17205.833333333332,778.4071305682779,-18698.0,-15474.0
tsp,berlin52,50,20,full,30,-19503.5,-19484.533333333333,770.8184514251532,-20942.0,-17720.0
tsp,berlin52,50,20,reduced,30,-19691.0,-19724.266666666666,769.8014492480304,-21053.0,-18242.0
tsp,berlin52,50,30,full,30,-17894.5,-17911.4,627.5160995324454,-19296.0,-16539.0
tsp,berlin52,50,30,reduced,30,-18053.5,-18128.333333333332,766.0894578776451,-19475.0,-16611.0
tsp,berlin52,50,50,full,30,-15800.0,-15823.066666666668,443.64197535721365,-16685.0,-15015.0
tsp,berlin52,50,50,reduced,30,-16061.5,-16063.7,659.0139002249157,-17419.0,-14855.0
knapsack,n20_uncorrelated,20,20,full,30,8220.0,8182.966666666666,174.9548677434453,7847.0,8537.0
knapsack,n20_uncorrelated,20,20,reduced,30,8061.0,7943.1,279.66116814015714,7342.0,8334.0
knapsack,n20_uncorrelated,20,30,full,30,8290.0,8300.166666666666,101.41790746225735,8088.0,8537.0
knapsack,n20_uncorrelated,20,30,reduced,30,8081.5,8031.6,227.83896309333983,7417.0,8335.0
knapsack,n20_uncorrelated,20,50,full,30,8334.0,8348.0,105.02610512925199,8088.0,8537.0
knapsack,n20_uncorrelated,20,50,reduced,30,8180.5,8124.133333333333,223.43582482693313,7436.0,8537.0
knapsack,n20_uncorrelated,50,20,full,30,8335.0,8363.766666666666,94.99970356880551,8209.0,8537.0
knapsack,n20_uncorrelated,50,20,reduced,30,8307.0,8264.033333333333,132.77501928874437,7833.0,8537.0
knapsack,n20_uncorrelated,50,30,full,30,8359.0,8398.533333333333,94.10329369930402,8283.0,8537.0
knapsack,n20_uncorrelated,50,30,reduced,30,8334.0,8309.7,98.23095586247328,8115.0,8537.0
knapsack,n20_uncorrelated,50,50,full,30,8359.0,8409.933333333332,92.77073458479403,8290.0,8537.0
knapsack,n20_uncorrelated,50,50,reduced,30,8335.0,8343.733333333334,81.33241001925512,8181.0,8537.0
knapsack,n20_weakly,20,20,full,30,5413.0,5398.4,100.47425472263512,5229.0,5568.0
knapsack,n20_weakly,20,20,reduced,30,5305.0,5320.266666666666,105.92154980287854,5080.0,5536.0
knapsack,n20_weakly,20,30,full,30,5438.5,5427.366666666667,86.49476098678416,5256.0,5570.0
knapsack,n20_weakly,20,30,reduced,30,5374.0,5366.466666666666,102.58276165372888,5203.0,5536.0
knapsack,n20_weakly,20,50,full,30,5475.0,5469.366666666667,97.3335832936485,5266.0,5607.0
knapsack,n20_weakly,20,50,reduced,30,5418.0,5393.466666666666,92.47990772775097,5225.0,5536.0
knapsack,n20_weakly,50,20,full,30,5511.0,5496.366666666667,58.96549741210932,5383.0,5607.0
knapsack,n20_weakly,50,20,reduced,30,5463.5,5447.733333333334,62.475337662888656,5320.0,5546.0
knapsack,n20_weakly,50,30,full,30,5526.5,5527.966666666666,59.79475431572707,5398.0,5607.0
knapsack,n20_weakly,50,30,reduced,30,5468.5,5467.266666666666,64.7706475311865,5328.0,5572.0
knapsack,n20_weakly,50,50,full,30,5568.0,5558.666666666667,55.77994531057354,5413.0,5607.0
knapsack,n20_weakly,50,50,reduced,30,5507.5,5497.733333333334,67.36515692712437,5328.0,5607.0
knapsack,n20_strongly,20,20,full,30,5558.0,5516.233333333334,140.88138403570605,5166.0,5766.0
knapsack,n20_strongly,20,20,reduced,30,5538.0,5510.966666666666,99.81482279989638,5340.0,5664.0
knapsack,n20_strongly,20,30,full,30,5563.5,5532.566666666667,142.71860022637105,5166.0,5766.0
knapsack,n20_strongly,20,30,reduced,30,5538.0,5518.333333333333,104.72767092545915,5340.0,5755.0
knapsack,n20_strongly,20,50,full,30,5566.0,5566.633333333333,113.23045871853206,5354.0,5766.0
knapsack,n20_strongly,20,50,reduced,30,5558.0,5539.833333333333,106.40621038828233,5340.0,5755.0
knapsack,n20_strongly,50,20,full,30,5660.0,5632.566666666667,58.229441145282806,5466.0,5766.0
knapsack,n20_strongly,50,20,reduced,30,5637.5,5611.266666666666,79.1824315821658,5436.0,5766.0
knapsack,n20_strongly,50,30,full,30,5663.0,5650.7,53.654160747487616,5466.0,5766.0
knapsack,n20_strongly,50,30,reduced,30,5647.5,5613.566666666667,79.45056295598533,5436.0,5766.0
knapsack,n20_strongly,50,50,full,30,5665.0,5657.0,45.751954923372885,5561.0,5766.0
knapsack,n20_strongly,50,50,reduced,30,5661.0,5623.933333333333,74.25906810216715,5453.0,5766.0
knapsack,n30_uncorrelated,20,20,full,30,12284.0,12233.4,451.36273355404444,11046.0,13103.0
knapsack,n30_uncorrelated,20,20,reduced,30,11875.0,11910.3,670.0035589200382,9860.0,12922.0
knapsack,n30_uncorrelated,20,30,full,30,12544.5,12579.866666666667,259.5431972993471,12070.0,13103.0
knapsack,n30_uncorrelated,20,30,reduced,30,12355.5,12185.366666666667,576.3321290614516,10604.0,13103.0
knapsack,n30_uncorrelated,20,50,full,30,12816.0,12830.733333333334,226.5024827957603,12439.0,13103.0
knapsack,n30_uncorrelated,20,50,reduced,30,12517.0,12453.466666666667,389.3338903318327,11531.0,13103.0
knapsack,n30_uncorrelated,50,20,full,30,12790.0,12794.7,178.89259925711158,12432.0,13103.0
knapsack,n30_uncorrelated,50,20,reduced,30,12773.0,12726.033333333333,277.4751288429952,11900.0,13103.0
knapsack,n30_uncorrelated,50,30,full,30,12912.5,12933.9,172.81749392609694,12432.0,13103.0
knapsack,n30_uncorrelated,50,30,reduced,30,12879.0,12844.3,250.40603578712054,11900.0,13103.0
knapsack,n30_uncorrelated,50,50,full,30,13103.0,13020.633333333333,122.96550773267283,12773.0,13103.0
knapsack,n30_uncorrelated,50,50,reduced,30,12922.0,12925.366666666667,179.4897909561189,12477.0,13103.0
knapsack,n30_weakly,20,20,full,30,7822.0,7813.733333333334,112.93114574005223,7579.0,7981.0
knapsack,n30_weakly,20,20,reduced,30,7767.5,7771.366666666667,116.31718921013837,7572.0,8025.0
knapsack,n30_weakly,20,30,full,30,7872.0,7865.5,104.45746535774988,7664.0,8068.0
knapsack,n30_weakly,20,30,reduced,30,7775.5,7789.733333333334,107.54467662913106,7586.0,8025.0
knapsack,n30_weakly,20,50,full,30,7951.5,7944.766666666666,79.4136630880195,7754.0,8101.0
knapsack,n30_weakly,20,50,reduced,30,7843.5,7828.3,114.10193567217837,7586.0,8035.0
knapsack,n30_weakly,50,20,full,30,7989.5,7975.366666666667,66.63771497786568,7858.0,8072.0
knapsack,n30_weakly,50,20,reduced,30,7915.5,7928.566666666667,101.45108667976774,7745.0,8107.0
knapsack,n30_weakly,50,30,full,30,8043.5,8037.266666666666,71.20002582977706,7897.0,8173.0
knapsack,n30_weakly,50,30,reduced,30,7991.0,7969.9,104.85666735909153,7770.0,8150.0
knapsack,n30_weakly,50,50,full,30,8099.5,8091.266666666666,57.45759055724212,7945.0,8191.0
knapsack,n30_weakly,50,50,reduced,30,8024.5,7998.466666666666,94.92310257413023,7770.0,8150.0
knapsack,n30_strongly,20,20,full,30,8746.5,8755.2,129.94041074595535,8518.0,9044.0
knapsack,n30_strongly,20,20,reduced,30,8759.0,8746.4,127.2422614678326,8476.0,8951.0
knapsack,n30_strongly,20,30,full,30,8757.5,8772.166666666666,115.28497923312304,8554.0,9044.0
knapsack,n30_strongly,20,30,reduced,30,8759.0,8760.633333333333,114.59749149728917,8537.0,8951.0
knapsack,n30_strongly,20,50,full,30,8811.0,8795.033333333333,114.16638895846751,8554.0,9044.0
knapsack,n30_strongly,20,50,reduced,30,8823.0,8795.4,107.97592324217469,8557.0,8951.0
knapsack,n30_strongly,50,20,full,30,8939.0,8914.066666666668,80.9989073290853,8651.0,9057.0
knapsack,n30_strongly,50,20,reduced,30,8855.5,8876.366666666667,82.55425941237942,8735.0,9056.0
knapsack,n30_strongly,50,30,full,30,8954.0,8960.666666666666,74.35021199020554,8734.0,9057.0
knapsack,n30_strongly,50,30,reduced,30,8926.0,8908.233333333334,88.22138427659226,8735.0,9057.0
knapsack,n30_strongly,50,50,full,30,8959.0,8994.4,79.26368042478698,8820.0,9158.0
knapsack,n30_strongly,50,50,reduced,30,8940.5,8930.133333333333,97.50711144121333,8743.0,9158.0
knapsack,n50_uncorrelated,20,20,full,30,17077.5,17034.2,626.2381060884442,15222.0,17903.0
knapsack,n50_uncorrelated,20,20,reduced,30,16915.0,16707.4,722.9788283254887,15208.0,17869.0
knapsack,n50_uncorrelated,20,30,full,30,17836.5,17707.166666666668,537.950394029767,16190.0,18588.0
knapsack,n50_uncorrelated,20,30,reduced,30,17352.0,17353.933333333334,636.4104581670291,16019.0,18658.0
knapsack,n50_uncorrelated,20,50,full,30,18309.5,18218.933333333334,323.72997830070466,17351.0,18721.0
knapsack,n50_uncorrelated,20,50,reduced,30,17842.0,17817.766666666666,476.1254314114944,17012.0,18846.0
knapsack,n50_uncorrelated,50,20,full,30,17904.5,17906.866666666665,253.83387634752216,17407.0,18369.0
knapsack,n50_uncorrelated,50,20,reduced,30,17808.0,17868.233333333334,461.3775238784719,16735.0,18652.0
knapsack,n50_uncorrelated,50,30,full,30,18400.0,18395.833333333332,264.2266638419701,17867.0,18797.0
knapsack,n50_uncorrelated,50,30,reduced,30,18184.5,18142.833333333332,377.082729725814,17243.0,18826.0
knapsack,n50_uncorrelated,50,50,full,30,18742.5,18752.333333333332,147.6777323894099,18468.0,18988.0
knapsack,n50_uncorrelated,50,50,reduced,30,18445.0,18410.4,224.7971652784825,17970.0,18858.0
knapsack,n50_weakly,20,20,full,30,10852.0,10871.866666666667,128.4267491025817,10703.0,11206.0
knapsack,n50_weakly,20,20,reduced,30,10758.5,10770.233333333334,138.89258646419057,10536.0,11095.0
knapsack,n50_weakly,20,30,full,30,10929.5,10938.1,127.23921267195624,10734.0,11251.0
knapsack,n50_weakly,20,30,reduced,30,10800.5,10818.966666666667,123.39465235529885,10640.0,11095.0
knapsack,n50_weakly,20,50,full,30,11013.5,11013.0,123.11474882933541,10774.0,11292.0
knapsack,n50_weakly,20,50,reduced,30,10838.0,10853.633333333333,118.20860676212912,10677.0,11159.0
knapsack,n50_weakly,50,20,full,30,11027.0,11024.633333333333,101.71748682717629,10818.0,11231.0
knapsack,n50_weakly,50,20,reduced,30,10993.5,10993.866666666667,112.15436816660586,10799.0,11279.0
knapsack,n50_weakly,50,30,full,30,11094.5,11090.166666666666,84.92393486316845,10909.0,11238.0
knapsack,n50_weakly,50,30,reduced,30,11027.5,11028.933333333332,109.41913510184945,10826.0,11279.0
knapsack,n50_weakly,50,50,full,30,11201.0,11198.466666666667,82.21029943585738,11044.0,11348.0
knapsack,n50_weakly,50,50,reduced,30,11093.0,11094.6,106.16110074007723,10894.0,11295.0
knapsack,n50_strongly,20,20,full,30,15926.0,15920.4,134.8295475648855,15640.0,16179.0
knapsack,n50_strongly,20,20,reduced,30,15855.0,15857.733333333334,144.83068195925065,15527.0,16129.0
knapsack,n50_strongly,20,30,full,30,15935.0,15936.833333333334,138.63772769426757,15640.0,16224.0
knapsack,n50_strongly,20,30,reduced,30,15922.0,15898.966666666667,164.55949208958324,15527.0,16202.0
knapsack,n50_strongly,20,50,full,30,15960.0,15970.366666666667,138.8602580451578,15640.0,16226.0
knapsack,n50_strongly,20,50,reduced,30,15937.5,15930.9,157.79085896341965,15527.0,16232.0
knapsack,n50_strongly,50,20,full,30,16103.0,16091.166666666666,118.59437776210814,15825.0,16334.0
knapsack,n50_strongly,50,20,reduced,30,16106.5,16077.8,124.79483853163931,15840.0,16289.0
knapsack,n50_strongly,50,30,full,30,16211.5,16198.466666666667,103.21211280603191,15898.0,16392.0
knapsack,n50_strongly,50,30,reduced,30,16125.0,16130.5,126.9164128947433,15895.0,16424.0
knapsack,n50_strongly,50,50,full,30,16328.5,16312.133333333333,106.17218719294301,16136.0,16533.0
knapsack,n50_strongly,50,50,reduced,30,16189.5,16171.8,128.75086876171576,15916.0,16424.0
continuous,sphere_d5,20,20,full,30,-0.12696347505341937,-0.1958442956555868,0.31658928242515644,-1.7855445519816653,-0.019907090939827284
continuous,sphere_d5,20,20,reduced,30,-0.43324360553706265,-0.48978910757333566,0.28509978188684415,-1.3009642067007807,-0.13669899964739926
continuous,sphere_d5,20,30,full,30,-0.022167851084643263,-0.04746750522963106,0.06113513226988661,-0.2641563683327063,-0.0003076674197900893
continuous,sphere_d5,20,30,reduced,30,-0.30180351623212626,-0.3171873179641978,0.17645973699394227,-0.7650240110322879,-0.049654378443685074
continuous,sphere_d5,20,50,full,30,-0.0035397370152683693,-0.0052505299953947,0.007687595365263798,-0.04273641021292001,-0.00017991775477703902
continuous,sphere_d5,20,50,reduced,30,-0.16693982428969525,-0.17744922028403254,0.1308705153733999,-0.5227741704781488,-0.012469025338282227
continuous,sphere_d5,50,20,full,30,-0.01189703140769755,-0.023566525484988925,0.038874352816940454,-0.21644343264624302,-0.0005465748288110457
continuous,sphere_d5,50,20,reduced,30,-0.2928563915988498,-0.32407242618165966,0.18881769692086472,-0.7239922050656962,-0.008707103084778386
continuous,sphere_d5,50,30,full,30,-0.0023342023949511894,-0.004393746410295413,0.0047581953982582725,-0.01859075847844023,-0.0002644191037293332
continuous,sphere_d5,50,30,reduced,30,-0.18399851864325428,-0.20707055975380323,0.12239350445622293,-0.5003173591903649,-0.0017389528358926578
continuous,sphere_d5,50,50,full,30,-0.00021460016028069346,-0.0004639637923932354,0.0006478995611058623,-0.0033749188611881956,-1.5792058099620334e-06
continuous,sphere_d5,50,50,reduced,30,-0.058784828972891306,-0.0782433898749886,0.06321507141873076,-0.2396001972496322,-0.00031514096919192615
continuous,sphere_d10,20,20,full,30,-2.0921667530527808,-2.2823586152909385,1.3313846104750824,-6.6897925894019314,-0.6900431733359622
continuous,sphere_d10,20,20,reduced,30,-6.014942455037094,-6.105636691360507,2.9251272999299007,-16.1066176615315,-2.4191290944421655
continuous,sphere_d10,20,30,full,30,-1.1109586338049195,-1.1253986518411494,0.6453941142739149,-2.537911841921811,-0.20352480574108528
continuous,sphere_d10,20,30,reduced,30,-3.481011744584323,-3.668033154715035,1.3211843677102917,-7.367998497586823,-1.8349654842920105
continuous,sphere_d10,20,50,full,30,-0.29307638192942076,-0.3557221190604913,0.2575362550646207,-0.9724989644725145,-0.04519095731585433
continuous,sphere_d10,20,50,reduced,30,-2.075265823616472,-2.4686847415142337,0.762189292384052,-3.9627155622740444,-1.5945286789087025
continuous,sphere_d10,50,20,full,30,-0.4606319280242672,-0.5364643251430702,0.36372281698135195,-1.4012951284652233,-0.04861822828109375
continuous,sphere_d10,50,20,reduced,30,-3.4368088022605043,-3.678022663650742,1.2825938638159722,-6.298010222605216,-1.5198405838193347
continuous,sphere_d10,50,30,full,30,-0.2086012207705572,-0.19020900706997418,0.10521124889041564,-0.39063668953760494,-0.03018344707297327
continuous,sphere_d10,50,30,reduced,30,-2.4273519064506646,-2.3162553602351412,0.6533126217773509,-3.3839786659162887,-0.9217608230647297
continuous,sphere_d10,50,50,full,30,-0.03494361061902916,-0.03882273049489206,0.02786808904427161,-0.1129181532134024,-0.010024605678073395
continuous,sphere_d10,50,50,reduced,30,-1.5029758037346663,-1.4822309154090403,0.5602687039221812,-2.4222629968931746,-0.193913372129051
continuous,rastrigin_d5,20,20,full,30,-11.459053594252978,-11.557314563291364,4.855482240843282,-20.818228536433594,-2.9856563707482593
continuous,rastrigin_d5,20,20,reduced,30,-16.714480989460572,-17.783667033194323,6.407174864531084,-32.382252132230576,-6.211207060183931
continuous,rastrigin_d5,20,30,full,30,-8.184425344815466,-8.9488447220247,4.370063685620076,-20.06978282179155,-2.3171740889803942
continuous,rastrigin_d5,20,30,reduced,30,-12.780199594971606,-13.611026703035852,5.263864955991808,-26.321473723422518,-3.988578642956
continuous,rastrigin_d5,20,50,full,30,-6.302213446662673,-6.564024318849691,4.078713386472646,-16.108935000948215,-1.5838445996987645
continuous,rastrigin_d5,20,50,reduced,30,-10.400796757853069,-10.841993660850585,5.219904776516886,-23.859358479017907,-3.2642186010907963
continuous,rastrigin_d5,50,20,full,30,-5.041565591104888,-5.555489279128929,2.8300446223756253,-11.070004556720093,-0.24345357359389652
continuous,rastrigin_d5,50,20,reduced,30,-10.433625091138747,-10.633422038886986,4.586103202125162,-27.263271605326082,-3.799135780732392
continuous,rastrigin_d5,50,30,full,30,-3.196159933277407,-3.8237818070198144,2.478949990268624,-10.49912162411534,-0.10224110197420799
continuous,rastrigin_d5,50,30,reduced,30,-7.926834827859619,-8.88367964077935,4.889278208077756,-27.00336766341176,-2.517575298116853
continuous,rastrigin_d5,50,50,full,30,-2.044221966901972,-2.194356793934446,1.3645321758916182,-6.972521838219578,-0.012802662538362597
continuous,rastrigin_d5,50,50,reduced,30,-6.129636627599826,-7.601606105655375,5.199649905391399,-26.926085551755,-2.0624450256238944
continuous,rastrigin_d10,20,20,full,30,-44.91240257005899,-43.750961605487575,10.670302327336229,-72.43646099202063,-23.144660906960155
continuous,rastrigin_d10,20,20,reduced,30,-70.54267573094845,-69.78885669764531,12.564854074637847,-95.37554920192868,-48.02425880879177
continuous,rastrigin_d10,20,30,full,30,-34.33119074112781,-35.27413833278743,11.188593196588533,-61.497131877288254,-17.888556835403563
continuous,rastrigin_d10,20,30,reduced,30,-58.60997999481623,-60.15282000267144,13.376847520699327,-87.09441968542993,-37.49799365554887
continuous,rastrigin_d10,20,50,full,30,-23.77650073308903,-26.33620306825078,11.103242744610323,-58.32389507744544,-6.357650825150046
continuous,rastrigin_d10,20,50,reduced,30,-48.41098922447307,-50.43285869241315,13.883139679480367,-81.04526772007007,-30.94361645930819
continuous,rastrigin_d10,50,20,full,30,-28.698483969461662,-30.537319411923672,10.613063065958391,-62.9753332959322,-14.269729112015611
continuous,rastrigin_d10,50,20,reduced,30,-57.47079066087813,-55.061702878944615,11.533038744208174,-72.07476814980849,-28.389575313321075
continuous,rastrigin_d10,50,30,full,30,-21.91499849351272,-21.979154519074473,7.563220052929103,-36.99949478895872,-12.180886284553779
continuous,rastrigin_d10,50,30,reduced,30,-50.141439822297755,-46.96383230007432,11.944994064691738,-67.93420821515022,-23.161885775705684
continuous,rastrigin_d10,50,50,full,30,-13.29689478891251,-15.25596040980309,6.110838302759786,-30.81258477577704,-7.6521144239602705
continuous,rastrigin_d10,50,50,reduced,30,-38.35846238188334,-38.5615766437786,13.298315820432522,-66.01656650396123,-18.849099272914614
continuous,rosenbrock_d5,20,20,full,30,-4.12634482233833,-4.572303835643039,2.3670333709195197,-11.477624422705674,-0.6315890180752993
continuous,rosenbrock_d5,20,20,reduced,30,-8.31006576674898,-12.08146873250323,18.767631668182165,-109.08453605826799,-2.227379040248334
continuous,rosenbrock_d5,20,30,full,30,-3.5313165143795633,-3.484578612216486,1.3619079880741405,-7.352392195548919,-0.5752342015539239
continuous,rosenbrock_d5,20,30,reduced,30,-6.3602030438081965,-7.050592428320283,4.487423230934715,-26.674487693938914,-1.6347342519208603
continuous,rosenbrock_d5,20,50,full,30,-3.054990703438339,-2.94485220650194,1.002781162422219,-4.849683477648309,-0.42837567526726844
continuous,rosenbrock_d5,20,50,reduced,30,-4.862396505281403,-4.658984757475229,1.792840832562104,-9.259774236730086,-0.9437420403705046
continuous,rosenbrock_d5,50,20,full,30,-3.303666217686497,-3.0033385657105685,1.3655260203456883,-5.630350132595354,-1.0783691197164098
continuous,rosenbrock_d5,50,20,reduced,30,-5.230094418388628,-5.779426676482128,2.504978367214771,-10.741554104565584,-0.37485445183410915
continuous,rosenbrock_d5,50,30,full,30,-3.0538968897766576,-2.7186190862940793,1.267925665034767,-5.000518163681703,-0.9013141350716861
continuous,rosenbrock_d5,50,30,reduced,30,-4.450973862738023,-4.11601676914393,1.8162013051757266,-8.343993921309469,-0.31618362983461396
continuous,rosenbrock_d5,50,50,full,30,-2.722826575158512,-2.466812917670788,1.1756883775831304,-4.506975436565379,-0.8212297553682726
continuous,rosenbrock_d5,50,50,reduced,30,-3.249623310846307,-3.1387092041954605,1.576633359194684,-6.795776964815147,-0.08140740818115662
continuous,rosenbrock_d10,20,20,full,30,-51.762677519814275,-55.12337109188911,29.36320234027589,-118.6634906391081,-16.817773226176953
continuous,rosenbrock_d10,20,20,reduced,30,-92.75129646429204,-114.71113098598123,45.17624717108804,-233.61567926940242,-48.823827674894524
continuous,rosenbrock_d10,20,30,full,30,-38.49780130822478,-38.44512725325133,19.478609187724583,-76.04505957172144,-11.381595187636046
continuous,rosenbrock_d10,20,30,reduced,30,-71.44087444718092,-81.120585986985,35.348728056395544,-166.84993131117577,-31.507545812389953
continuous,rosenbrock_d10,20,50,full,30,-16.741534284621473,-21.54864482380212,14.54683452713875,-57.037467384714375,-7.657337096561876
continuous,rosenbrock_d10,20,50,reduced,30,-46.80710463323214,-52.36399125825863,23.856624791753074,-108.4886407203707,-19.545604245465963
continuous,rosenbrock_d10,50,20,full,30,-20.840128078848483,-26.978318060977724,16.09299691273422,-84.35607346894633,-8.810754977609038
continuous,rosenbrock_d10,50,20,reduced,30,-62.3980163578225,-68.72204260520155,24.093606581087638,-145.66904881779607,-37.335388617475594
continuous,rosenbrock_d10,50,30,full,30,-13.463204109181877,-17.99860266305247,13.052981580788567,-73.70893739866717,-7.293853908220757
continuous,rosenbrock_d10,50,30,reduced,30,-44.78446552240105,-51.213938312163336,19.201440932498006,-112.13811858544328,-26.749229833280623
continuous,rosenbrock_d10,50,50,full,30,-9.810198892564152,-11.187283047746623,5.1625675789591705,-28.138896241170038,-6.737928220334816
continuous,rosenbrock_d10,50,50,reduced,30,-30.544457983821715,-34.239008441556535,16.39990203536352,-79.16079245753686,-12.893006774155687
